,tokenId,priceETH,timestamp
179,1087,0.33,2021-05-01
180,4560,44,2021-10-03
181,5795,6.7,2021-07-21
182,7205,0.23,2021-05-01
183,2049,0.3999,2021-05-05
184,7664,3.8,2021-07-12
185,4243,1.5,2021-05-31
186,4040,4,2021-06-19
187,5074,7.5,2021-07-16
188,7583,0.4,2021-05-02
189,7437,27.5,2021-08-22
190,7357,50,2021-11-15
191,5407,88.4,2022-01-24
192,8766,0.39,2021-05-04
193,5350,11,2021-07-28
194,5938,5,2021-07-11
195,9268,25,2021-08-21
196,5644,9.8,2021-06-10
197,3377,2,2021-06-07
198,4957,0.145,2021-05-01
199,4555,2,2021-06-18
200,5474,0.4,2021-05-03
201,4176,1,2021-05-08
202,6221,8,2021-07-17
203,5724,18.25,2021-08-07
204,3345,79.49,2022-01-03
205,7884,0.5555,2021-05-02
206,7943,2.45,2021-06-06
207,9822,1.3,2021-06-01
208,9421,13.153216482449243861,2021-08-04
209,2769,0.3,2021-05-09
210,5672,32.5,2021-11-07
211,1100,64,2021-12-07
212,4062,0.45,2021-05-17
213,4828,13.1967,2021-08-12
214,5222,4.99,2021-06-12
215,335,18.75,2021-08-20
216,4200,15.2,2021-08-07
217,3028,26.069,2021-09-14
218,5168,16.15,2021-07-22
219,5347,0.71,2021-05-30
220,3806,39,2021-09-03
221,5263,0.5,2021-05-04
222,4314,13.9,2021-08-11
223,8005,1.28,2021-05-01
224,4004,3.49,2021-06-17
225,3580,10,2021-07-17
226,4515,0.625,2021-05-01
227,4158,18,2021-08-04
228,5096,0.625,2021-05-02
229,9971,1.23,2021-06-05
230,7990,1.5,2021-06-04
231,6440,1.5979999999999999,2021-06-07
232,3311,111.69,2022-01-31
233,8622,0.55,2021-05-05
234,1527,140,2022-01-31
235,2593,34.68,2021-11-08
236,6515,0.45,2021-05-30
237,9130,6.29,2021-07-17
238,1680,1.2049999999999998,2021-06-13
239,1805,0.95,2021-05-31
240,4817,0.38,2021-05-24
241,2032,1.099,2021-06-01
242,5544,5.2,2021-07-03
243,2571,21.14,2021-08-04
244,1577,0.475,2021-05-28
245,4424,0.5999,2021-05-03
246,2211,1.5,2021-05-04
247,361,2.85,2021-06-13
248,3154,4.32,2021-07-13
249,4072,47.95,2021-09-30
250,8058,7.5,2021-06-21
251,5552,0.5,2021-05-02
252,2325,34.5,2021-09-13
253,3534,0.925,2021-05-31
254,6526,0.525,2021-05-02
255,5009,3,2021-06-19
256,2343,6.68,2021-07-31
257,9199,7.8,2021-07-12
258,9791,14,2021-08-05
259,9316,0.45,2021-05-06
260,8875,0.89,2021-05-03
261,7333,0.3,2021-05-02
262,6643,48,2021-11-13
263,8810,0.08,2021-05-01
264,6799,7.25,2021-06-17
265,4505,2.4,2021-06-16
266,647,0.3575,2021-05-08
267,960,0.8888,2021-05-29
268,2969,0,2021-08-29
269,7738,0.4,2021-05-02
270,1930,0.45,2021-05-21
271,2000,0.999,2021-05-31
272,9969,0.98,2021-05-03
273,9881,53,2021-10-08
274,614,5,2021-06-05
275,1518,3.85,2021-06-30
276,4721,112,2022-02-13
277,4110,8,2021-07-15
278,2295,4.8,2021-06-21
279,8783,32.7,2021-11-10
280,3759,5,2021-06-20
281,4422,3.249897941589655649,2021-07-09
282,4184,150.069,2022-01-31
283,4033,1.1,2021-06-02
284,7238,31.69,2021-11-10
285,6192,31.61,2021-08-25
286,1781,3,2021-05-02
287,8385,0.65,2021-05-28
288,7957,34,2021-10-23
289,2936,2,2021-06-05
290,5527,3.2,2021-06-19
291,5961,15.8,2021-08-07
292,448,1.8,2021-06-08
293,4620,0.35,2021-05-23
294,7535,1.0999,2021-06-05
295,4075,1.2,2021-05-15
296,8671,1.5,2021-06-07
297,5999,0.5,2021-05-30
298,3566,2.67,2021-07-05
299,8109,0.45,2021-05-04
300,2086,5.9,2021-07-15
301,9558,9.2,2021-08-01
302,8389,36.75,2021-08-25
303,2911,6.5,2021-07-31
304,5801,0.33,2021-05-02
305,2280,44,2021-09-16
306,3414,1.99,2021-06-15
307,6512,47.77,2021-10-28
308,171,13.999,2021-08-13
309,5479,0.999,2021-05-31
310,4133,5,2021-07-30
311,5923,40,2021-10-01
312,5080,22,2021-08-18
313,3048,2.25,2021-05-31
314,1097,0.25,2021-05-01
315,2594,0.5,2021-05-03
316,3013,95,2022-01-25
317,6297,6.5,2021-07-27
318,3234,69,2021-12-28
319,2068,0.42,2021-05-25
320,8099,18,2021-06-21
321,7462,1.149,2021-05-04
322,1264,16.089438192588037105,2021-08-04
323,1512,1.42,2021-06-06
324,2769,0.5078,2021-05-26
325,8803,1.5,2021-06-01
326,6869,108.8,2022-01-27
327,1630,1,2021-05-06
328,6995,2.2,2021-06-17
329,1587,0.55,2021-05-09
330,4330,0.29,2021-05-01
331,1735,15.5,2021-08-15
332,779,2.99,2021-06-20
333,8925,8.0009,2021-07-18
334,4595,3.3,2021-06-25
335,1654,5.78,2021-07-30
336,9546,19.69,2021-08-05
337,1910,5.4,2021-06-30
338,4148,4,2021-06-20
339,4970,3.9,2021-06-26
340,4124,48,2021-08-31
341,5801,14.7,2021-08-15
342,2007,0.5,2021-05-03
343,1738,15.35,2021-08-04
344,2861,15,2021-06-17
345,2664,5,2021-06-10
346,201,0.35,2021-05-02
347,7934,0.55,2021-05-15
348,7504,13,2021-08-09
349,9591,1.8,2021-06-01
350,7000,5.3,2021-07-15
351,6131,0.2,2021-05-01
352,2667,0.45,2021-05-02
353,4797,40,2021-09-21
354,1711,15.79,2021-08-16
355,2514,9.1,2021-07-21
356,1179,18,2021-08-07
357,5988,31.75,2021-11-02
358,9752,69,2022-01-01
359,6559,6.8,2021-06-20
360,8974,0.72,2021-05-03
361,5052,2.4999,2021-06-10
362,5074,0.46,2021-05-07
363,1253,40,2021-08-24
364,5553,0.3,2021-05-07
365,5114,0.4999,2021-05-03
366,4688,3,2021-06-20
367,8520,0.8,2021-05-31
368,9199,6.82,2021-06-29
369,32,2.5,2021-05-02
370,8926,0.6198,2021-05-04
371,373,0.4,2021-05-03
372,9425,0.18,2021-05-01
373,8500,0.57,2021-05-03
374,4785,0.06,2021-05-01
375,329,0.329,2021-05-01
376,8379,5,2021-06-15
377,7957,15.8995,2021-08-10
378,4321,5.1992,2021-07-15
379,8733,2,2021-06-07
380,8593,0.69,2021-05-03
381,9474,6.5,2021-07-26
382,3806,6.35,2021-07-31
383,6642,69,2021-12-26
384,2221,0.5,2021-05-30
385,3959,0.29,2021-05-02
386,4807,1.7,2021-06-09
387,1002,0.3499,2021-05-05
388,215,60,2021-12-10
389,3112,2.45,2021-06-19
390,2062,3.49,2021-05-29
391,8486,0.1999,2021-05-01
392,9434,0.19,2021-05-01
393,3887,0.15,2021-05-01
394,4965,0.6899,2021-05-03
395,103,36,2021-08-28
396,7009,11.11,2021-08-03
397,6533,0.2,2021-05-02
398,1856,110,2022-02-20
399,4354,0.55,2021-05-03
400,6066,0.245,2021-05-01
401,3005,33,2021-08-23
402,7672,65,2021-12-29
403,9934,3,2021-06-18
404,5749,3.43,2021-06-22
405,2258,15,2021-08-04
406,4459,0.23,2021-05-01
407,4655,7.5,2021-06-28
408,8444,0.56,2021-05-03
409,9198,0.16,2021-05-01
410,7466,1.307,2021-06-07
411,9785,51,2021-11-29
412,4956,5.4,2021-07-29
413,2071,50,2021-08-31
414,7101,6.14,2021-06-29
415,8881,2.89,2021-06-19
416,2131,100.69,2022-02-20
417,9607,3,2021-06-01
418,3959,0.63,2021-05-05
419,6650,0.75,2021-05-31
420,3296,18,2021-08-04
421,9652,0.13,2021-05-01
422,8704,1.49,2021-06-06
423,8841,1.4,2021-06-10
424,3529,169,2021-12-31
425,7475,2.2,2021-06-07
426,6566,0.78,2021-06-01
427,6995,89.69,2022-02-15
428,7221,1.79,2021-06-03
429,6005,0.6,2021-05-09
430,6598,39.5,2021-10-28
431,1555,44.5,2021-08-25
432,5304,0.104,2021-05-01
433,2209,0.23,2021-05-01
434,6451,8.69,2021-07-17
435,3377,1.85,2021-06-11
436,9870,5.329999999999999,2021-07-16
