,tokenId,priceETH,timestamp
178,6676,2.82,2022-01-14
179,6145,1.65,2022-01-12
180,9980,4,2022-01-21
181,6641,6.85,2022-01-23
182,8995,2.6,2022-01-16
183,8691,6.5,2022-01-21
184,1264,2.75,2022-01-19
185,3903,12.25,2022-02-01
186,6228,1.85,2022-01-12
187,8995,11.99,2022-02-07
188,704,1.97,2022-01-12
189,2759,2,2022-01-12
190,2209,1.7,2022-01-12
191,5726,7,2022-01-26
192,6478,15,2022-01-21
193,9847,7.98,2022-01-28
194,5935,13,2022-02-04
195,4060,2.7979,2022-01-15
196,7724,12,2022-01-26
197,8230,2.1,2022-01-12
198,625,11.99,2022-02-10
199,699,7.99,2022-01-27
200,7376,12.1,2022-02-01
201,2940,2.14,2022-01-12
202,3416,2.6969,2022-01-13
203,1294,7.8,2022-02-04
204,5258,10.95,2022-02-05
205,4670,3.99,2022-01-20
206,6586,1.9,2022-01-12
207,4331,1.85,2022-01-12
208,6279,1.79,2022-01-12
209,6245,1.5959,2022-01-12
210,995,3.33,2022-01-20
211,3995,1.98,2022-01-12
212,280,15,2022-01-21
213,6032,2.49,2022-01-20
214,3208,4.2,2022-01-21
215,1925,4.2,2022-01-23
216,1318,1.899,2022-01-13
217,6797,2.1,2022-01-13
218,2974,17.5,2022-02-15
219,6507,2.7499,2022-01-14
220,1432,3.25,2022-01-19
221,9651,3.29,2022-01-19
222,346,2.999,2022-01-19
223,5718,1.9295,2022-01-13
224,3814,2.7,2022-01-20
225,2875,5.4,2022-01-23
226,8211,2.5,2022-01-15
227,4820,2.99,2022-01-19
228,5558,65,2022-01-21
229,7165,15.15,2022-02-18
230,2573,2.8,2022-01-20
231,485,6,2022-01-26
232,8121,3.39,2022-01-21
233,241,22.5,2022-02-01
234,3228,2.42,2022-01-17
235,9376,12.4269,2022-01-26
236,8098,7.2,2022-01-28
237,5458,5.9,2022-01-21
238,8991,3.3,2022-01-19
239,914,3.33,2022-01-19
240,9969,3.35,2022-01-19
241,4889,3.6,2022-01-25
242,235,3.2,2022-01-20
243,1107,3.6,2022-01-20
244,6317,2.3,2022-01-20
245,2323,1.9,2022-01-12
246,6079,11.69,2022-01-28
247,5350,14.2,2022-01-27
248,9114,2.99,2022-01-20
249,910,2,2022-01-12
250,7422,3,2022-01-19
251,2752,15.88,2022-02-01
252,1405,2.3,2022-01-20
253,7613,2.38,2022-01-13
254,2285,6.9,2022-01-26
255,4996,12.21,2022-02-12
256,421,11.5,2022-01-21
257,6157,12.5,2022-01-25
258,2030,2.46399,2022-01-18
259,3839,2.1,2022-01-12
260,5245,6.3,2022-01-26
261,9635,2.597,2022-01-15
262,6117,7.77,2022-01-20
263,6787,1.94,2022-01-13
264,8442,6.29,2022-01-21
265,488,1.94999,2022-01-12
266,3666,1.95,2022-01-12
267,1913,3.3,2022-01-19
268,4227,13.15,2022-02-02
269,8415,25,2022-01-27
270,1426,4.6,2022-01-26
271,6422,2.03,2022-01-12
272,5651,1.75,2022-01-12
273,8059,1.75,2022-01-12
274,3323,14.3,2022-02-17
275,2856,14.49,2022-02-01
276,2983,2.682,2022-01-13
277,3298,2.5,2022-01-18
278,2478,6.969,2022-01-21
279,8239,2.74,2022-01-15
280,7065,14,2022-02-10
281,5136,4,2022-01-22
282,5926,9.6,2022-01-31
283,5474,9,2022-01-27
284,5883,3.4,2022-01-24
285,2383,9.69,2022-01-27
286,5148,9.98,2022-01-26
287,5734,3.93,2022-01-22
288,4765,2.43,2022-01-17
289,9340,8.99,2022-01-23
290,4017,4.69,2022-01-25
291,3944,1.95,2022-01-12
292,5627,1.7,2022-01-12
293,6600,12.5,2022-01-31
294,6925,2.275,2022-01-13
295,2803,3.55,2022-01-24
296,6604,3.33,2022-01-21
297,6118,1.8,2022-01-12
298,3836,12.98,2022-02-15
299,1267,2.7999,2022-01-19
300,2506,2.84,2022-01-19
301,3115,2.8,2022-01-19
302,3633,2.8,2022-01-19
303,4268,2.848,2022-01-19
304,4410,2.8,2022-01-19
305,4661,2.81,2022-01-19
306,6510,2.79,2022-01-19
307,7480,2.79,2022-01-19
308,8415,2.789,2022-01-19
309,9244,2.79,2022-01-19
310,8353,3.3,2022-01-21
311,7664,1.79,2022-01-12
312,2322,2.99,2022-01-20
313,9758,3.2,2022-01-20
314,7694,4.7,2022-01-25
315,5164,3.6,2022-01-24
316,2101,2.73,2022-01-15
317,8587,4.6,2022-01-25
318,2145,2.44,2022-01-17
319,3629,10,2022-01-20
320,1313,2.8,2022-01-20
321,5534,14.69,2022-02-15
322,9768,8.35,2022-01-20
323,9369,12,2022-01-20
324,6369,7.6,2022-01-27
325,9126,2.54,2022-01-13
326,736,2.72,2022-01-15
327,5438,2.75,2022-01-14
328,8000,10.5,2022-02-04
329,6640,9,2022-02-04
330,8358,12.29,2022-02-13
331,3734,3.98,2022-01-22
332,5578,2.765,2022-01-16
333,1834,5.7,2022-01-26
334,5197,3.5,2022-01-20
335,1648,5.5,2022-01-24
336,3583,3.2,2022-01-21
337,6996,7.88,2022-01-27
338,6175,1.7,2022-01-12
339,5648,3.69,2022-01-20
340,2288,1.998,2022-01-12
341,2289,1.998,2022-01-12
342,2290,1.998,2022-01-12
343,2291,1.998,2022-01-12
